date,open,high,low,close,volume,foreign_ownership,code,name,daily_return,event_day,cumulative_return,benchmark_return,abnormal_return,cumulative_abnormal_return,asset,case
2022-04-18,434000.0,439500.0,432500.0,433000.0,115652.0,3.01,373220,LG Energy Solution,-0.0045977011494252595,52,-0.1425742574257426,-0.001057098135798129,-0.0035406030136271305,-0.1497268139306589,LG Energy Solution,LG Energy Solution IPO
2022-04-19,438000.0,441500.0,434000.0,435500.0,124432.0,2.98,373220,LG Energy Solution,0.005773672055427337,53,-0.13762376237623763,0.00953509009694753,-0.0037614180415201925,-0.1534882319721791,LG Energy Solution,LG Energy Solution IPO
2022-04-20,437500.0,438000.0,432000.0,436500.0,202657.0,3.0,373220,LG Energy Solution,0.0022962112514350874,54,-0.13564356435643565,-7.35594305028009e-05,0.0023697706819378883,-0.1511184612902412,LG Energy Solution,LG Energy Solution IPO
2022-04-21,437500.0,440000.0,434500.0,437000.0,234128.0,3.0,373220,LG Energy Solution,0.001145475372279492,55,-0.13465346534653466,0.0035016864740002873,-0.0023562111017207954,-0.153474672391962,LG Energy Solution,LG Energy Solution IPO
2022-04-22,434000.0,437500.0,428500.0,436500.0,266806.0,3.03,373220,LG Energy Solution,-0.0011441647597254523,56,-0.13564356435643565,-0.00861370642289272,0.007469541663167267,-0.14600513072879473,LG Energy Solution,LG Energy Solution IPO
2022-04-25,430000.0,436000.0,428500.0,433000.0,254452.0,3.08,373220,LG Energy Solution,-0.008018327605956443,57,-0.1425742574257426,-0.01759153476712838,0.009573207161171937,-0.1364319235676228,LG Energy Solution,LG Energy Solution IPO
2022-04-26,432000.0,432000.0,414500.0,423500.0,520529.0,3.03,373220,LG Energy Solution,-0.021939953810623525,58,-0.16138613861386142,0.004207547240819842,-0.026147501051443367,-0.16257942461906616,LG Energy Solution,LG Energy Solution IPO
2022-04-27,399500.0,427000.0,397000.0,418000.0,1478354.0,3.05,373220,LG Energy Solution,-0.012987012987012991,59,-0.17227722772277232,-0.010961994670784181,-0.0020250183162288105,-0.16460444293529497,LG Energy Solution,LG Energy Solution IPO
2022-04-28,420500.0,421000.0,412500.0,417500.0,358325.0,3.06,373220,LG Energy Solution,-0.0011961722488038617,60,-0.1732673267326733,0.010772775154789915,-0.011968947403593777,-0.17657339033888875,LG Energy Solution,LG Energy Solution IPO
2022-04-29,418000.0,426000.0,414000.0,417000.0,332582.0,3.07,373220,LG Energy Solution,-0.0011976047904191933,61,-0.1742574257425743,0.010331810053646029,-0.011529414844065222,-0.18810280518295397,LG Energy Solution,LG Energy Solution IPO
2022-05-02,412500.0,414500.0,407000.0,408500.0,365546.0,3.07,373220,LG Energy Solution,-0.020383693045563533,62,-0.19108910891089104,-0.0028199847869243566,-0.017563708258639177,-0.20566651344159315,LG Energy Solution,LG Energy Solution IPO
2021-10-25,3001.1,3025.27,2983.29,3020.54,791795.0,0.0,KOSPI,KOSPI,,-67,0.15530753607778203,,,0.0,KOSPI,LG Energy Solution IPO
