date,open,high,low,close,volume,foreign_ownership,code,name,source
2021-05-03,641266,641266,622664,625602,263931,42.77,006400,Samsung SDI,naver-finance
2021-05-04,616790,638329,616790,636371,215996,42.84,006400,Samsung SDI,naver-finance
2021-05-06,632455,636371,621685,628539,326997,42.7,006400,Samsung SDI,naver-finance
2021-05-07,629518,635392,621685,628539,248347,42.64,006400,Samsung SDI,naver-finance
2021-05-10,641266,644203,631475,638329,244347,42.62,006400,Samsung SDI,naver-finance
2021-05-11,632455,642245,626580,627560,387603,42.61,006400,Samsung SDI,naver-finance
2021-05-12,627560,628539,614832,619728,300238,42.59,006400,Samsung SDI,naver-finance
2021-05-13,601125,605041,587418,589377,601371,42.3,006400,Samsung SDI,naver-finance
2021-05-14,595251,619727,592314,612874,294378,42.44,006400,Samsung SDI,naver-finance
2021-05-17,619727,628538,604062,609937,262704,42.4,006400,Samsung SDI,naver-finance
2021-05-18,615810,617769,604062,617769,187620,42.41,006400,Samsung SDI,naver-finance
2021-05-20,612874,628539,611895,622665,287909,42.4,006400,Samsung SDI,naver-finance
2021-05-21,635392,635392,622664,629518,308228,42.46,006400,Samsung SDI,naver-finance
2021-05-24,623644,627560,617769,621686,174220,42.45,006400,Samsung SDI,naver-finance
2021-05-25,621685,629518,615811,629518,205510,42.45,006400,Samsung SDI,naver-finance
2021-05-26,630497,630497,617769,623644,198167,42.46,006400,Samsung SDI,naver-finance
2021-05-27,622665,625602,607979,622665,362991,42.49,006400,Samsung SDI,naver-finance
2021-05-28,631476,631476,622664,626581,180833,42.5,006400,Samsung SDI,naver-finance
2021-05-31,626580,627559,593293,602105,652996,42.32,006400,Samsung SDI,naver-finance
2021-06-01,596230,606021,593293,603084,254687,42.3,006400,Samsung SDI,naver-finance
2021-06-02,605042,606021,597210,598189,230056,42.32,006400,Samsung SDI,naver-finance
2021-06-03,595251,610916,595251,607000,266445,42.41,006400,Samsung SDI,naver-finance
2021-06-04,599167,610916,598188,607979,179938,42.47,006400,Samsung SDI,naver-finance
2021-06-07,608958,614832,603083,608958,133489,42.48,006400,Samsung SDI,naver-finance
2021-06-08,607979,608958,602105,602105,148405,42.42,006400,Samsung SDI,naver-finance
2021-06-09,600147,602105,593294,593294,284253,42.29,006400,Samsung SDI,naver-finance
2021-06-10,598189,603084,593293,597210,412659,42.39,006400,Samsung SDI,naver-finance
2021-06-11,604063,626581,603084,624623,611782,42.51,006400,Samsung SDI,naver-finance
2021-06-14,629518,631476,621685,625602,215328,42.52,006400,Samsung SDI,naver-finance
2021-06-15,631475,640287,629517,639308,356549,42.61,006400,Samsung SDI,naver-finance
2021-06-16,639307,643224,631475,642245,243846,42.67,006400,Samsung SDI,naver-finance
2021-06-17,640287,644203,634412,636371,237937,42.62,006400,Samsung SDI,naver-finance
2021-06-18,651056,663784,644203,659868,466091,42.74,006400,Samsung SDI,naver-finance
2021-06-21,658888,670637,651056,666721,398510,42.74,006400,Samsung SDI,naver-finance
2021-06-22,663783,669658,653014,668679,300444,42.78,006400,Samsung SDI,naver-finance
2021-06-23,669658,677490,665741,669658,259814,42.88,006400,Samsung SDI,naver-finance
2021-06-24,676511,680427,671615,675532,306431,42.91,006400,Samsung SDI,naver-finance
2021-06-25,683364,684343,665741,673574,253196,42.88,006400,Samsung SDI,naver-finance
2021-06-28,672595,676511,661825,664763,179904,43.02,006400,Samsung SDI,naver-finance
2021-06-29,665741,674553,662804,671616,229957,43.06,006400,Samsung SDI,naver-finance
2021-06-30,675532,685323,675532,683365,349675,43.13,006400,Samsung SDI,naver-finance
2021-07-01,687281,713715,686302,708820,614451,43.36,006400,Samsung SDI,naver-finance
2021-07-02,715673,729379,702945,707841,336628,43.36,006400,Samsung SDI,naver-finance
2021-07-05,710777,714693,701965,706861,181482,43.32,006400,Samsung SDI,naver-finance
2021-07-06,713714,733295,708819,731337,414284,43.45,006400,Samsung SDI,naver-finance
2021-07-07,733295,742106,726441,733295,350766,43.5,006400,Samsung SDI,naver-finance
2021-07-08,738190,741127,716652,716652,354772,43.54,006400,Samsung SDI,naver-finance
2021-07-09,710777,724484,697071,720568,383284,43.57,006400,Samsung SDI,naver-finance
2021-07-12,723505,727421,706861,714694,232497,43.49,006400,Samsung SDI,naver-finance
2021-07-13,721546,734274,717630,734274,328781,43.55,006400,Samsung SDI,naver-finance
2021-07-14,730358,734274,722525,729379,225942,43.52,006400,Samsung SDI,naver-finance
2021-07-15,732315,738190,719588,734274,276838,43.47,006400,Samsung SDI,naver-finance
2021-07-16,727420,741127,725462,733295,155448,43.49,006400,Samsung SDI,naver-finance
2021-07-19,726441,731337,718609,727421,161778,43.48,006400,Samsung SDI,naver-finance
2021-07-20,718610,727421,704903,715673,263111,43.47,006400,Samsung SDI,naver-finance
2021-07-21,722526,727421,711756,717631,203699,43.53,006400,Samsung SDI,naver-finance
2021-07-22,722526,726442,715672,722526,132997,43.54,006400,Samsung SDI,naver-finance
2021-07-23,724483,735253,720567,735253,258926,43.48,006400,Samsung SDI,naver-finance
2021-07-26,744064,744064,720567,721547,232006,43.39,006400,Samsung SDI,naver-finance
2021-07-27,726442,753855,720568,744065,444729,43.49,006400,Samsung SDI,naver-finance
2021-07-28,744065,753855,735253,743086,330785,43.47,006400,Samsung SDI,naver-finance
2021-07-29,751897,751897,744064,748960,204424,43.57,006400,Samsung SDI,naver-finance
2021-07-30,745043,746022,723504,725463,318411,43.47,006400,Samsung SDI,naver-finance
2021-08-02,728399,731337,717630,731337,199402,43.48,006400,Samsung SDI,naver-finance
2021-08-03,735253,745043,724483,733295,184944,43.52,006400,Samsung SDI,naver-finance
2021-08-04,737211,737211,711756,729379,250979,43.51,006400,Samsung SDI,naver-finance
2021-08-05,732316,757771,728400,754834,494675,43.85,006400,Samsung SDI,naver-finance
